caseId,caseName,majVotes,minVotes,justice,justiceName,vote
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,111,JGRoberts,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,105,AScalia,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,106,AMKennedy,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,108,CThomas,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,109,RBGinsburg,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,110,SGBreyer,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,112,SAAlito,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,113,SSotomayor,1
2010-001,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,114,EKagan,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,111,JGRoberts,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,114,EKagan,
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,105,AScalia,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,106,AMKennedy,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,108,CThomas,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,109,RBGinsburg,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,110,SGBreyer,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,112,SAAlito,1
2010-002,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,113,SSotomayor,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,111,JGRoberts,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,105,AScalia,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,106,AMKennedy,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,108,CThomas,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,109,RBGinsburg,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,110,SGBreyer,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,112,SAAlito,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,113,SSotomayor,1
2010-003,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",8,0,114,EKagan,
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,111,JGRoberts,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,105,AScalia,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,106,AMKennedy,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,108,CThomas,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,109,RBGinsburg,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,110,SGBreyer,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,112,SAAlito,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,113,SSotomayor,8
2010-004,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",4,4,114,EKagan,
2010-005,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",8,0,111,JGRoberts,1
2010-005,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",8,0,114,EKagan,1
2010-005,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",8,0,105,AScalia,1
