Date	Miles	Feeling
30-Aug-14	41.3	NA
6-Sep-14	49.9	NA
13-Sep-14	52	NA
20-Sep-14	58	NA
27-Sep-14	54	Good
4-Oct-14	60	Bad
11-Oct-14	53	NA
18-Oct-14	58	NA
25-Oct-14	52.5	NA
1-Nov-14	49	Bad
8-Nov-14	0	NA
15-Nov-14	38	NA
22-Nov-14	46	NA
29-Nov-14	45	NA
6-Dec-14	47	NA
13-Dec-14	48	NA
20-Dec-14	49	NA
27-Dec-14	55	NA
3-Jan-15	57	NA
10-Jan-15	60	NA
17-Jan-15	61	Bad
24-Jan-15	63	NA
31-Jan-15	66	NA
7-Feb-15	70	Bad
14-Feb-15	83	NA
21-Feb-15	68	NA
28-Feb-15	80	NA
7-Mar-15	25	NA
14-Mar-15	48	NA
21-Mar-15	70	NA
28-Mar-15	48	NA
4-Apr-15	38	NA
11-Apr-15	46	Meh
18-Apr-15	48.5	Bad
25-Apr-15	34	Bad
2-May-15	0	NA
9-May-15	4	NA
16-May-15	26	NA
23-May-15	22	NA
30-May-15	43	NA
6-Jun-15	38	NA
13-Jun-15	52	NA
20-Jun-15	59	NA
27-Jun-15	65	NA
4-Jul-15	59.5	NA
11-Jul-15	47	NA
18-Jul-15	62	NA
25-Jul-15	65	NA
1-Aug-15	77	NA
8-Aug-15	69	NA
15-Aug-15	53	NA
22-Aug-15	68	NA
29-Aug-15	74	NA
5-Sep-15	67	NA
12-Sep-15	72.5	NA
19-Sep-15	71.5	Meh
26-Sep-15	77	NA
3-Oct-15	63.5	Good
10-Oct-15	76	NA
17-Oct-15	69	NA
24-Oct-15	63.5	NA
31-Oct-15	59	Meh
7-Nov-15	55	NA
14-Nov-15	30.5	Meh
21-Nov-15	0	NA
28-Nov-15	0	NA
5-Dec-15	27.5	NA
12-Dec-15	52	NA
19-Dec-15	56	NA
26-Dec-15	53	NA
2-Jan-16	60	NA
9-Jan-16	57	NA
16-Jan-16	55	NA
23-Jan-16	66	NA
30-Jan-16	66.5	NA
6-Feb-16	62.5	Bad
13-Feb-16	70.5	NA
20-Feb-16	67.5	NA
27-Feb-16	61	Good
5-Mar-16	50	NA
12-Mar-16	70	NA
19-Mar-16	73	NA
26-Mar-16	74	NA
2-Apr-16	70.5	Bad
9-Apr-16	66.5	NA
16-Apr-16	74.5	Good
23-Apr-16	63	Good
30-Apr-16	67	NA
7-May-16	54	Good
14-May-16	52	NA
21-May-16	0	NA
28-May-16	0	NA
4-Jun-16	26.5	NA
11-Jun-16	24	NA
18-Jun-16	42	NA
25-Jun-16	43	NA
2-Jul-16	49	NA
9-Jul-16	60	NA
16-Jul-16	57	NA
23-Jul-16	64	NA
30-Jul-16	69	NA
6-Aug-16	71.5	NA
13-Aug-16	72	NA
20-Aug-16	75.5	NA
27-Aug-16	74	NA
