caseID,term,chief,caseName,majVotes,minVotes,justiceID,direction,majority
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,111,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,105,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,106,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,108,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,109,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,110,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,112,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,113,1,2
2010-001,2010,Roberts,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",9,0,114,1,2
2010-002,2010,Roberts,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,111,1,2
2010-002,2010,Roberts,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,114,,
2010-002,2010,Roberts,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,105,1,2
2010-002,2010,Roberts,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,106,1,2
2010-002,2010,Roberts,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",8,0,108,1,2
